word,pinyin,meaning
关键,guānjiàn,"['crucial point', 'crux', 'CL:個|个[ge4]', 'key', 'crucial', 'pivotal']"
忘记,wàngjì,['to forget']
理解,lǐjiě,"['to comprehend', 'to understand', 'comprehension', 'understanding']"
在家,zàijiā,
眼睛,yǎnjīng,"['eye', 'CL:隻|只[zhi1],雙|双[shuang1]']"
围脖,wéibó,"['muffler', 'scarf']"
娃,wá,"['baby', 'doll']"
骗,piàn,"['to cheat', 'to swindle', 'to deceive', 'to get on (a horse etc) by swinging one leg over']"
清楚,qīngchǔ,"['clear', 'distinct', 'to understand thoroughly', 'to be clear about']"
请问,qǐngwèn,"['Excuse me, may I ask...?']"
留,líu,['old variant of 留[liu2]']
其他,qítā,"['other', '(sth or sb) else', 'the rest']"
宝贝,bǎobèi,"['treasured object', 'treasure', 'darling', 'baby', 'cowry', 'good-for-nothing or queer character']"
王,wáng,"['to rule', 'to reign over']"
耍,shuǎ,"['to play with', 'to wield', 'to act (cool etc)', ""to display (a skill, one's temper etc)""]"
片,piàn,"['thin piece', 'flake', 'a slice', 'film', 'TV play', 'to slice', 'to carve thin', 'partial', 'incomplete', 'one-sided', 'classifier for slices, tablets, tract of land, area of water', 'classifier for CDs, movies, DVDs etc', 'used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc']"
不够,bùgòu,"['not enough', 'insufficient', 'inadequate']"
只要,zhǐyào,"['if only', 'so long as']"
头像,tóuxiàng,"['portrait', 'bust']"
下去,xiàqù,"['to go down', 'to descend', 'to go on', 'to continue', '(of a servant) to withdraw']"
已,yǐ,"['already', 'to stop', 'then', 'afterwards']"
安全,ānquán,"['safe', 'secure', 'safety', 'security']"
受,shòu,"['to receive', 'to accept', 'to suffer', 'subjected to', 'to bear', 'to stand', 'pleasant', '(passive marker)']"
强,qiáng,['variant of 強|强[qiang3]']
不管,bùguǎn,"['no matter (what, how)', 'regardless of', 'no matter']"
妹妹,mèimèi,"['younger sister', 'young woman', 'CL:個|个[ge4]']"
食,shí,['to feed']
突然,tūrán,"['sudden', 'abrupt', 'unexpected']"
度,dù,"['to estimate', 'Taiwan pr. [duo4]']"
不如,bùrú,"['not equal to', 'not as good as', 'inferior to', 'it would be better to']"
下来,xiàlái,"['to come down', '(after verb of motion, indicates motion down and towards us, also fig.)', '(indicates continuation from the past towards us)', 'to be harvested (of crops)', 'to be over (of a period of time)', 'to go among the masses (said of leaders)']"
国家,guójiā,"['country', 'nation', 'state', 'CL:個|个[ge4]']"
吼,hǒu,"['to roar', 'to howl', 'to shriek', 'roar or howl of an animal', 'bellow of rage']"
后面,hòumiàn,"['rear', 'back', 'behind', 'later', 'afterwards']"
粉丝,fěnsī,"['bean vermicelli', 'mung bean starch noodles', 'Chinese vermicelli', 'cellophane noodles', 'CL:把[ba3]', 'fan (loanword)', 'enthusiast for sb or sth']"
正在,zhèngzài,"['just at (that time)', 'right in (that place)', 'right in the middle of (doing sth)']"
兄弟,xiōngdì,"['brothers', 'younger brother', 'CL:個|个[ge4]', 'I, me (humble term used by men in public speech)', 'brotherly', 'fraternal']"
爷,yé,"['grandpa', 'old gentleman']"
经常,jīngcháng,"['frequently', 'constantly', 'regularly', 'often', 'day-to-day', 'everyday', 'daily']"
考虑,kǎolv̀,"['to think over', 'to consider', 'consideration']"
简单,jiǎndān,"['simple', 'not complicated']"
猜,cāi,['to guess']
咧,liě,['modal particle expressing exclamation']
考,kǎo,"['to check', 'to verify', 'to test', 'to examine', 'to take an exam', 'to take an entrance exam for', 'deceased father']"
要不,yàobù,"['otherwise', 'or else', 'how about...?', 'either... (or...)']"
低调,dīdiào,"['low pitch', 'quiet (voice)', 'subdued', 'low-key', 'low-profile']"
就要,jìuyào,"['will', 'shall', 'to be going to']"
倒,dǎo,"['to place upside down', 'to invert', 'to pour', 'to throw out', 'to move backwards', 'however', 'actually', 'as a matter of fact', 'contrary to expectation']"
爸,bà,"['father', 'dad', 'pa', 'papa']"
杀,shā,"['to kill', 'to murder', 'to attack', 'to weaken or reduce', 'to smart (dialect)', '(used after a verb) extremely']"
妞,nīu,['girl']
昨晚,zuówǎn,"['yesterday evening', 'last night']"
精神,jīngshén,"['vigor', 'vitality', 'drive', 'spiritual']"
段,duàn,"['paragraph', 'section', 'segment', 'stage (of a process)', 'classifier for stories, periods of time, lengths of thread etc']"
正常,zhèngcháng,"['regular', 'normal', 'ordinary']"
想念,xiǎngniàn,"['to miss', 'to remember with longing', 'to long to see again']"
周末,zhōumò,['weekend']
文化,wénhuà,"['culture', 'civilization', 'cultural', 'CL:個|个[ge4],種|种[zhong3]']"
狠,hěn,"['fierce', 'very']"
十,shí,"['ten', '10']"
马上,mǎshàng,"['at once', 'right away', 'immediately', 'on horseback (i.e. by military force)']"
喝酒,hējǐu,['to drink (alcohol)']
台,tái,['typhoon']
气,qì,"['gas', 'air', 'smell', 'weather', 'to make angry', 'to annoy', 'to get angry', 'vital energy', 'qi']"
进,jìn,"['to go forward', 'to advance', 'to go in', 'to enter', 'to put in', 'to submit', 'to take in', 'to admit', '(math.) base of a number system', 'classifier for sections in a building or residential compound']"
头发,tóufā,['hair (on the head)']
介绍,jièshào,"['to introduce (sb to sb)', 'to give a presentation', 'to present (sb for a job etc)', 'introduction']"
机,jī,"['machine', 'engine', 'opportunity', 'intention', 'aircraft', 'pivot', 'crucial point', 'flexible (quick-witted)', 'organic', 'CL:臺|台[tai2]']"
姑娘,gūniáng,"['girl', 'young woman', 'young lady', 'daughter', 'paternal aunt (old)', 'CL:個|个[ge4]']"
擦,cā,"['to wipe', 'to erase', 'rubbing (brush stroke in painting)', 'to clean', 'to polish']"
听说,tīngshuō,"['to hear (sth said)', 'one hears (that)', 'hearsay', 'listening and speaking']"
收,shōu,"['to receive', 'to accept', 'to collect', 'to put away', 'to restrain', 'to stop', 'in care of (used on address line after name)']"
画,huà,"['to draw', 'picture', 'painting', 'CL:幅[fu2],張|张[zhang1]', 'classifier for paintings etc', 'variant of 劃|划[hua4]']"
定,dìng,"['to set', 'to fix', 'to determine', 'to decide', 'to order']"
鸡,jī,"['fowl', 'chicken', 'CL:隻|只[zhi1]', '(slang) prostitute']"
呦,yōu,"['Oh! (exclamation of dismay etc)', 'see 呦呦[you1 you1]']"
聪明,cōngmíng,"['intelligent', 'clever', 'bright', 'smart', 'acute (of sight and hearing)']"
值得,zhídé,"['to be worth', 'to deserve']"
耶,yé,['final particle indicating enthusiasm etc']
感动,gǎndòng,"['to move (sb)', 'to touch (sb emotionally)', 'moving']"
恩恩,ēnēn,
虽然,sūirán,"['although', 'even though', 'even if']"
八,bā,"['eight', '8']"
臭,chòu,"['sense of smell', 'smell bad']"
接,jiē,"['to receive', 'to answer (the phone)', 'to meet or welcome sb', 'to connect', 'to catch', 'to join', 'to extend', ""to take one's turn on duty"", 'to take over for sb']"
卡,qiǎ,"['to block', 'to be stuck', 'to be wedged', 'customs station', 'a clip', 'a fastener', 'a checkpost', 'Taiwan pr. [ka3]']"
距,jù,"['at a distance of', 'distance', 'to be apart']"
你好,nǐhǎo,"['Hello!', 'Hi!', 'How are you?']"
要求,yàoqíu,"['to request', 'to require', 'to stake a claim', 'to ask', 'to demand', 'CL:點|点[dian3]']"
节目,jiémù,"['program', 'item (on a program)', 'CL:臺|台[tai2],個|个[ge4],套[tao4]']"
勒,lè,"['to strap tightly', 'to bind']"
货,huò,"['goods', 'money', 'commodity', 'CL:個|个[ge4]']"
对了,dùile,"['Correct!', ""Oh, that's right, ... (when one suddenly remembers sth one wanted to mention)"", 'Oh, by the way, ...']"
名,míng,"['name', 'noun (part of speech)', 'place (e.g. among winners)', 'famous', 'classifier for people']"
大学,dàxué,"['university', 'college', 'CL:所[suo3]']"
广州,guǎngzhōu,"['Guangzhou subprovincial city and capital of Guangdong', 'Canton']"
不见,bùjiàn,"['not to see', 'not to meet', 'to have disappeared', 'to be missing']"
差不多,chàbùduō,"['almost', 'nearly', 'more or less', 'about the same', 'good enough', 'not bad']"
李,lǐ,['plum']
关,guān,"['mountain pass', 'to close', 'to shut', 'to turn off', 'to concern', 'to involve']"
新闻,xīnwén,"['news', 'CL:條|条[tiao2],個|个[ge4]']"
内,nèi,"['inside', 'inner', 'internal', 'within', 'interior']"
脚,jiǎo,"['variant of 角[jue2]', 'role']"
明显,míngxiǎn,"['clear', 'distinct', 'obvious']"
版,bǎn,"['a register', 'block of printing', 'edition', 'version', 'page']"
组织,zǔzhī,"['to organize', 'organization', 'organized system', 'nerve', 'tissue', 'CL:個|个[ge4]']"
非,fēi,"['to not be', 'not', 'wrong', 'incorrect', 'non-', 'un-', 'in-', 'to reproach or blame', '(colloquial) to insist on', 'simply must']"
呜呜,wūwū,['(interj) boo hoo']
或者,huòzhě,"['or', 'possibly', 'maybe', 'perhaps']"
试试,shìshì,
刚刚,gānggāng,"['just recently', 'just a moment ago']"
真心,zhēnxīn,"['sincere', 'heartfelt', 'CL:片[pian4]']"
块,kuài,"['lump (of earth)', 'chunk', 'piece', 'classifier for pieces of cloth, cake, soap etc', '(coll.) classifier for money and currency units']"
无奈,wúnài,"['helpless', 'without choice', 'for lack of better option', 'grudgingly', 'willy-nilly', 'nolens volens', 'abbr. for 無可奈何|无可奈何[wu2 ke3 nai4 he2]']"
麻,má,"['generic name for hemp, flax etc', 'hemp or flax fiber for textile materials', 'sesame', 'CL:縷|缕[lu:3]', '(of materials) rough or coarse', 'pocked', 'pitted', 'to have pins and needles or tingling', 'to feel numb']"
老子,lǎozǐ,"['father', 'daddy', '""I, your father"" (in anger, or out of contempt)', 'I (used arrogantly or jocularly)']"
日本,rìběn,"['Japan', 'Japanese']"
场,cháng,['variant of 場|场[chang3]']
这次,zhècì,
试,shì,"['to test', 'to try', 'experiment', 'examination', 'test']"
教,jiào,"['religion', 'teaching', 'to make', 'to cause', 'to tell']"
洗,xǐ,"['to wash', 'to bathe', 'to develop (photo)']"
约,yuē,"['to make an appointment', 'to invite', 'approximately', 'pact', 'treaty', 'to economize', 'to restrict', 'to reduce (a fraction)', 'concise']"
鱼,yú,"['fish', 'CL:條|条[tiao2],尾[wei3]']"
简直,jiǎnzhí,"['simply', 'at all', 'practically']"
呸,pēi,"['pah!', 'bah!', 'pooh!', 'to spit (in contempt)']"
楼,lóu,"['house with more than 1 story', 'storied building', 'floor', 'CL:層|层[ceng2],座[zuo4],棟|栋[dong4]']"
一切,yīqiē,"['everything', 'every', 'all']"
未,wèi,"['not yet', 'did not', 'have not', 'not', '8th earthly branch: 1-3 p.m., 6th solar month (7th July-6th August), year of the Sheep', 'ancient Chinese compass point: 210°']"
见到,jiàndào,['to see']
票,piào,"['ticket', 'ballot', 'banknote', 'CL:張|张[zhang1]', 'person held for ransom', 'amateur performance of Chinese opera', 'classifier for groups, batches, business transactions']"
专业,zhuānyè,"['specialty', 'specialized field', 'main field of study (at university)', 'major', 'CL:門|门[men2],個|个[ge4]', 'professional']"
混,hùn,"['to mix', 'to mingle', 'muddled', 'to drift along', 'to muddle along', 'to pass for', 'to get along with sb', 'thoughtless', 'reckless']"
蛋,dàn,"['egg', 'CL:個|个[ge4],打[da2]', 'oval-shaped thing']"
表,biǎo,['wrist or pocket watch']
相当,xiāngdāng,"['equivalent to', 'appropriate', 'considerably', 'to a certain extent', 'fairly', 'quite']"
呵,hē,"['expel breath', 'my goodness']"
出现,chūxiàn,"['to appear', 'to arise', 'to emerge', 'to show up']"
那天,nàtiān,"['that day', 'the other day']"
宝宝,bǎobǎo,"['darling', 'baby']"
竟然,jìngrán,"['unexpectedly', ""to one's surprise"", 'in spite of everything', 'in that crazy way', 'actually', 'to go as far as to']"
一些,yīxiē,"['some', 'a few', 'a little']"
每次,měicì,['every time']
选择,xuǎnzé,"['to select', 'to pick', 'choice', 'option', 'alternative']"
课,kè,"['subject', 'course', 'CL:門|门[men2]', 'class', 'lesson', 'CL:堂[tang2],節|节[jie2]', 'to levy', 'tax', 'form of divination']"
健康,jiànkāng,"['health', 'healthy']"
却,què,"['but', 'yet', 'however', 'while', 'to go back', 'to decline', 'to retreat', 'nevertheless', 'even though']"
夜,yè,['night']
家里,jiālǐ,['home']
推荐,tūijiàn,"['to recommend', 'recommendation']"
上次,shàngcì,['last time']
道理,dàolǐ,"['reason', 'argument', 'sense', 'principle', 'basis', 'justification', 'CL:個|个[ge4]']"
政府,zhèngfǔ,"['government', 'CL:個|个[ge4]']"
于,yú,"['in', 'at', 'to', 'from', 'by', 'than', 'out of']"
解释,jiěshì,"['explanation', 'to explain', 'to interpret', 'to resolve', 'CL:個|个[ge4]']"
辣,là,"['hot (spicy)', 'pungent']"
联系,liánxì,"['connection', 'contact', 'relation', 'to get in touch with', 'to integrate', 'to link', 'to touch']"
美丽,měilì,['beautiful']
私,sī,"['personal', 'private', 'selfish']"
为啥,wèishà,['dialectal equivalent of 為什麼|为什么[wei4 shen2 me5]']
同意,tóngyì,"['to agree', 'to consent', 'to approve']"
效果,xiàoguǒ,"['result', 'effect', 'quality', 'CL:個|个[ge4]']"
天气,tiānqì,['weather']
口味,kǒuwèi,"[""a person's preferences"", 'tastes (in food)', 'flavor']"
情,qíng,"['feeling', 'emotion', 'passion', 'situation']"
离,lí,"['to leave', 'to part from', 'to be away from', '(in giving distances) from', 'without (sth)', 'independent of', 'one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire', '☲']"
肚子,dùzǐ,"['belly', 'abdomen', 'stomach', 'CL:個|个[ge4]']"
吾,wú,"['I', 'my (old)']"
个人,gèrén,"['individual', 'personal', 'oneself']"
评论,pínglùn,"['to comment on', 'to discuss', 'comment', 'commentary', 'CL:篇[pian1]']"
哪儿,nǎér,"['where?', 'wherever', 'anywhere']"
火,huǒ,"['fire', 'urgent', 'ammunition', 'fiery or flaming', 'internal heat (Chinese medicine)', 'hot (popular)', 'classifier for military units (old)']"
中午,zhōngwǔ,"['noon', 'midday', 'CL:個|个[ge4]']"
谢,xiè,"['to thank', 'to apologize', 'to wither (of flowers, leaves etc)', 'to decline']"
眼,yǎn,"['eye', 'small hole', 'crux (of a matter)', 'CL:隻|只[zhi1],雙|双[shuang1]', 'classifier for big hollow things (wells, stoves, pots etc)']"
抓,zhuā,"['to grab', 'to catch', 'to arrest', 'to snatch', 'to scratch']"
不说,bùshuō,
丑,chǒu,"['shameful', 'ugly', 'disgraceful']"
睇,dì,"['to look down upon (classical)', 'to see', 'to look at (Cantonese)', 'Mandarin equivalent: 看[kan4]']"
有时,yǒushí,"['sometimes', 'now and then']"
不同,bùtóng,"['different', 'distinct', 'not the same', 'not alike']"
那种,nàzhǒng,"['that', 'that kind of', 'that sort of', 'that type of']"
激动,jīdòng,"['to move emotionally', 'to stir up (emotions)', 'to excite']"
微薄,wēibó,"['scanty', 'meager']"
美国,měiguó,"['United States', 'USA', 'US']"
决定,juédìng,"['to decide (to do something)', 'to resolve', 'decision', 'CL:個|个[ge4],項|项[xiang4]', 'certainly']"
有钱,yǒuqián,"['well-off', 'wealthy']"
六,lìu,"['six', '6']"
研究,yánjīu,"['research', 'a study', 'CL:項|项[xiang4]']"
刷,shuā,['to select']
后悔,hòuhǔi,"['to regret', 'to repent']"
每个,měigè,
不知,bùzhī,"['not to know', 'unaware', 'unknowingly', 'fig. not to admit (defeat, hardships, tiredness etc)']"
啥子,shàzǐ,
高兴,gāoxīng,"['happy', 'glad', 'willing (to do sth)', 'in a cheerful mood']"
随便,súibiàn,"['as one wishes', 'as one pleases', 'at random', 'negligent', 'casual', 'wanton']"
流氓,líumáng,"['rogue', 'hoodlum', 'gangster', 'immoral behavior']"
上去,shàngqù,['to go up']
首,shǒu,"['head', 'chief', 'first (occasion, thing etc)', 'classifier for poems, songs etc']"
除了,chúle,"['besides', 'apart from (... also...)', 'in addition to', 'except (for)']"
基本,jīběn,"['basic', 'fundamental', 'main', 'elementary']"
恐怖,kǒngbù,"['terrible', 'frightful', 'frightening', 'terror', 'terrorist']"
闹,nào,"['noisy', 'cacophonous', 'to make noise', 'to disturb', 'to vent (feelings)', 'to fall ill', 'to have an attack (of sickness)', 'to go in (for some activity)', 'to joke']"
怎样,zěnyáng,"['how', 'why']"
之后,zhīhòu,"['afterwards', 'following', 'later', 'after']"
仔,zǐ,"['meticulous', '(of domestic animals or fowls) young']"
飞机,fēijī,"['airplane', 'CL:架[jia4]']"
舒服,shūfú,"['comfortable', 'feeling well']"
失望,shīwàng,"['disappointed', 'to lose hope', 'to despair']"
困,kùn,"['sleepy', 'tired']"
收到,shōudào,['to receive']
坚持,jiānchí,"['to persevere with', 'to persist in', 'to insist on']"
对不起,dùibùqǐ,"['unworthy', 'to let down', ""I'm sorry"", 'excuse me', 'pardon me', 'if you please', 'sorry? (please repeat)']"
腿,tǔi,"['hip bone', 'old variant of 腿[tui3]']"
抽,chōu,"['to draw out', 'to pull out from in between', 'to remove part of the whole', '(of certain plants) to sprout or bud', 'to whip or thrash']"
所有,suǒyǒu,"['all', 'to have', 'to possess', 'to own']"
醒,xǐng,"['to wake up', 'to be awake', 'to become aware', 'to sober up', 'to come to']"
快点,kuàidiǎn,"['to do sth more quickly', 'Hurry up!', 'Get a move on!']"
遇到,yùdào,"['to meet', 'to run into', 'to come across']"
所,suǒ,"['actually', 'place', 'classifier for houses, small buildings, institutions etc', 'that which', 'particle introducing a relative clause or passive', 'CL:個|个[ge4]']"
员,yuán,"['person', 'employee', 'member']"
的确,dequè,"['really', 'indeed']"
此,cǐ,"['this', 'these']"
爱情,àiqíng,"['romance', 'love (romantic)', 'CL:個|个[ge4],份[fen4]']"
消息,xiāoxī,"['news', 'information', 'CL:條|条[tiao2]']"
爆,bào,"['to explode or burst', 'to quick fry or quick boil']"
故意,gùyì,"['deliberately', 'on purpose']"
现场,xiàncháng,"['the scene (of a crime, accident etc)', '(on) the spot', '(at) the site']"
当时,dāngshí,"['at once', 'right away']"
代表,dàibiǎo,"['representative', 'delegate', 'CL:位[wei4],個|个[ge4],名[ming2]', 'to represent', 'to stand for', 'on behalf of', 'in the name of']"
事实,shìshí,"['fact', 'CL:個|个[ge4]']"
光,guāng,"['light', 'ray', 'CL:道[dao4]', 'bright', 'only', 'merely', 'to use up']"
满,mǎn,"['to fill', 'full', 'filled', 'packed', 'fully', 'completely', 'quite', 'to reach the limit', 'to satisfy', 'satisfied', 'contented']"
马,mǎ,"['horse', 'CL:匹[pi3]', 'horse or cavalry piece in Chinese chess', 'knight in Western chess']"
遗憾,yíhàn,"['regret', 'to regret', 'to be sorry that']"
上课,shàngkè,"['to go to class', 'to attend class', 'to go to teach a class']"
女孩,nv̌hái,"['girl', 'lass']"
建议,jiànyì,"['to propose', 'to suggest', 'to recommend', 'proposal', 'suggestion', 'recommendation', 'CL:個|个[ge4],點|点[dian3]']"
低,dī,"['low', 'beneath', ""to lower (one's head)"", 'to let droop', 'to hang down', 'to incline']"
电脑,diànnǎo,"['computer', 'CL:臺|台[tai2]']"
神,shén,"['deity', 'soul', 'spirit', 'unusual', 'mysterious', 'lively', 'expressive', 'expression', 'look', 'CL:個|个[ge4]', '(slang) awesome', 'amazing']"
急,jí,"['urgent', 'pressing', 'rapid', 'hurried', 'worried', 'to make (sb) anxious']"
矮,ǎi,"['low', 'short (in length)']"
明明,míngmíng,"['obviously', 'plainly', 'undoubtedly', 'definitely']"
化,huà,"['to make into', 'to change into', '-ization', 'to ... -ize', 'to transform', 'abbr. for 化學|化学[hua4 xue2]']"
跳,tiào,"['to jump', 'to hop', 'to skip over', 'to bounce', 'to palpitate']"
有空,yǒukōng,['to have time (to do sth)']
师,shī,"['teacher', 'master', 'expert', 'model', 'army division', '(old) troops', 'to dispatch troops']"
那边,nàbiān,"['over there', 'yonder']"
便宜,biànyí,"['cheap', 'inexpensive', 'small advantages', 'to let sb off lightly']"
据说,jùshuō,"['it is said that', 'reportedly']"
至于,zhìyú,"['as for', 'as to', 'to go so far as to']"
党,dǎng,"['party', 'association', 'club', 'society', 'CL:個|个[ge4]']"
嗨,hāi,"['oh alas', 'hey!', 'hi! (loanword)', ""high (on drugs, or as 'in high spirits') (loanword)""]"
选,xuǎn,"['to choose', 'to pick', 'to select', 'to elect']"
常,cháng,"['always', 'ever', 'often', 'frequently', 'common', 'general', 'constant']"
每,měi,"['each', 'every']"
记,jì,"['to record', 'to note', 'to memorize', 'to remember', 'mark', 'sign', 'classifier for blows, kicks, shots']"
娘,niáng,['variant of 娘[niang2]']
感冒,gǎnmào,"['to catch cold', '(common) cold', 'CL:場|场[chang2],次[ci4]', '(coll.) to be interested in (often used in the negative)', '(Tw) to detest', ""can't stand""]"
明年,míngnián,['next year']
呃,è,"['(exclamation)', 'to hiccup']"
关心,guānxīn,"['to be concerned about', 'to care about']"
球,qíu,"['ball', 'sphere', 'globe', 'CL:個|个[ge4]', 'ball game', 'match', 'CL:場|场[chang3]']"
谈,tán,"['to speak', 'to talk', 'to converse', 'to chat', 'to discuss']"
好听,hǎotīng,['pleasant to hear']
可怕,kěpà,"['awful', 'dreadful', 'fearful', 'formidable', 'frightful', 'scary', 'hideous', 'horrible', 'terrible', 'terribly']"
现实,xiànshí,"['reality', 'actuality', 'real', 'actual', 'realistic']"
剪,jiǎn,"['scissors', 'shears', 'clippers', 'CL:把[ba3]', 'to cut with scissors', 'to trim', 'to wipe out or exterminate']"
学生,xuéshēng,"['student', 'schoolchild']"
加班,jiābān,['to work overtime']
感情,gǎnqíng,"['emotion', 'sentiment', 'affection', 'feelings between two persons', 'CL:個|个[ge4],種|种[zhong3]']"
山,shān,"['mountain', 'hill', 'anything that resembles a mountain', 'CL:座[zuo4]', 'bundled straw in which silkworms spin cocoons', 'gable']"
街,jiē,"['street', 'CL:條|条[tiao2]']"
剧,jù,"['theatrical work (play, opera, TV series etc)', 'dramatic (change, increase etc)', 'acute', 'severe']"
既,jì,"['already', 'since', 'both... (and...)']"
旁边,pángbiān,"['lateral', 'side', 'to the side', 'beside']"
喂,wèi,['to feed']
老大,lǎodà,"['old age', 'very', 'eldest child in a family', 'leader of a group', 'boss', 'captain of a boat', 'leader of a criminal gang']"
丢,dīu,"['to lose', 'to put aside', 'to throw']"
辈子,bèizǐ,"[""all one's life"", 'lifetime']"
瞎,xiā,"['blind', 'groundlessly', 'foolishly', 'to no purpose']"
爸爸,bàbà,"['(informal) father', 'CL:個|个[ge4],位[wei4]']"
语,yǔ,['to tell to']
吐,tǔ,"['to vomit', 'to throw up']"
服务,fúwù,"['to serve', 'service', 'CL:項|项[xiang4]']"
慢慢,mànmàn,['slowly']
根本,gēnběn,"['fundamental', 'basic', 'root', 'simply', 'absolutely (not)', '(not) at all', 'CL:個|个[ge4]']"
技术,jìzhú,"['technology', 'technique', 'skill', 'CL:門|门[men2],種|种[zhong3],項|项[xiang4]']"
某,mǒu,"['some', 'a certain', 'sb or sth indefinite', 'such-and-such']"
想起,xiǎngqǐ,"['to recall', 'to think of', 'to call to mind']"
黄,huáng,"['yellow', 'pornographic', 'to fall through']"
早点,zǎodiǎn,['breakfast']
费,fèi,"['to cost', 'to spend', 'fee', 'wasteful', 'expenses']"
刺激,cìjī,"['to provoke', 'to irritate', 'to upset', 'to stimulate', 'to excite', 'irritant']"
莫,mò,"['do not', 'there is none who']"
女儿,nv̌ér,['daughter']
美好,měihǎo,"['beautiful', 'fine']"
从来,cónglái,"['always', 'at all times', 'never (if used in negative sentence)']"
色,sè,"['color', 'dice']"
园,yuán,"['land used for growing plants', 'site used for public recreation']"
七,qī,"['seven', '7']"
友,yǒu,['friend']
室,shì,"['room', 'work unit', 'grave', 'scabbard', 'family or clan', 'one of the 28 constellations of Chinese astronomy']"
挂,guà,"['to hang or suspend (from a hook etc)', 'to hang up (the phone)', '(of a line) to be dead', 'to be worried or concerned', 'to make a phone call (dialect)', 'to register or record', 'classifier for sets or clusters of objects', '(slang) to kill', 'to die', 'to be finished', 'to fail (an exam)']"
表情,biǎoqíng,"['(facial) expression', ""to express one's feelings"", 'expression']"
套,tào,"['to cover', 'to encase', 'cover', 'sheath', 'to overlap', 'to interleave', 'to model after', 'to copy', 'formula', 'harness', 'loop of rope', '(fig.) to fish for', 'to obtain slyly', 'classifier for sets, collections', 'bend (of a river or mountain range, in place names)', 'tau (Greek letter Ττ)']"
孩,hái,['child']
晚安,wǎnān,"['Good night!', 'Good evening!']"
下雨,xiàyǔ,['to rain']
具体,jùtǐ,"['concrete', 'definite', 'specific']"
经典,jīngdiǎn,"['the classics', 'scriptures', 'classical', 'classic (example, case etc)', 'typical']"
近,jìn,"['near', 'close to', 'approximately']"
中秋,zhōngqīu,"['the Mid-autumn festival, the traditional moon-viewing festival on the 15th of the 8th lunar month']"
女生,nv̌shēng,"['schoolgirl', 'female student', 'girl']"
某人,mǒurén,"['someone', 'a certain person', 'some people', ""I (self-address after one's surname)""]"
心疼,xīnténg,"['to love dearly', 'to feel sorry for sb', 'to regret', 'to grudge', 'to be distressed']"
主义,zhǔyì,"['-ism', 'ideology']"
成都,chéngdū,['Chengdu subprovincial city and capital of Sichuan province 四川 in southwest China']
变成,biànchéng,"['to change into', 'to turn into', 'to become']"
这话,zhèhuà,
那样,nàyáng,"['that kind', 'that sort']"
计划,jìhuá,"['plan', 'project', 'program', 'to plan', 'to map out', 'CL:個|个[ge4],項|项[xiang4]']"
如,rú,"['as', 'as if', 'such as']"
陈,chén,"['to lay out', 'to exhibit', 'to display', 'to narrate', 'to state', 'to explain', 'to tell', 'old', 'stale']"
将,jiāng,"['to desire', 'to invite', 'to request']"
浪费,làngfèi,"['to waste', 'to squander']"
忍,rěn,"['to bear', 'to endure', 'to tolerate', 'to restrain oneself']"
打算,dǎsuàn,"['to plan', 'to intend', 'to calculate', 'plan', 'intention', 'calculation', 'CL:個|个[ge4]']"
雨,yǔ,"['to rain', '(of rain, snow etc) to fall', 'to precipitate', 'to wet']"
压力,yālì,['pressure']
当年,dāngnián,['that very same year']
变态,biàntài,"['to metamorphose (biology)', 'abnormal', 'perverted', 'hentai', '(slang) pervert']"
流,líu,"['to flow', 'to disseminate', 'to circulate or spread', 'to move or drift', 'to degenerate', 'to banish or send into exile', 'stream of water or sth resembling one', 'class, rate or grade']"
教育,jiàoyù,"['to educate', 'to teach', 'education']"
偷,tōu,"['to steal', 'to pilfer', 'to snatch', 'thief', 'stealthily']"
故事,gùshì,"['narrative', 'story', 'tale']"
仲,zhòng,"['second month of a season', 'middle', 'intermediate', 'second amongst brothers']"
排,pái,"['a row', 'a line', 'to set in order', 'to arrange', 'to line up', 'to eliminate', 'to drain', 'to push open', 'platoon', 'raft', 'classifier for lines, rows etc']"
烂,làn,"['soft', 'mushy', 'well-cooked and soft', 'to rot', 'to decompose', 'rotten', 'worn out', 'chaotic', 'messy', 'utterly', 'thoroughly', 'crappy', 'bad']"
小孩,xiǎohái,"['child', 'CL:個|个[ge4]']"
认为,rènwèi,"['to believe', 'to think', 'to consider', 'to feel']"
茶,chá,"['tea', 'tea plant', 'CL:杯[bei1],壺|壶[hu2]']"
深,shēn,"['deep', 'depth', 'deeply', '(of a color) dark', 'deep', 'rich']"
演,yǎn,"['to develop', 'to evolve', 'to practice', 'to perform', 'to play', 'to act']"
运动,yùndòng,"['to move', 'to exercise', 'sports', 'exercise', 'motion', 'movement', 'campaign', 'CL:場|场[chang3]']"
杭州,hángzhōu,['Hangzhou subprovincial city and capital of Zhejiang province in southeast China']
路上,lùshàng,"['on the road', 'on a journey', 'road surface']"
门,mén,"['gate', 'door', 'CL:扇[shan4]', 'gateway', 'doorway', 'CL:個|个[ge4]', 'opening', 'valve', 'switch', 'way to do something', 'knack', 'family', 'house', '(religious) sect', 'school (of thought)', 'class', 'category', 'phylum or division (taxonomy)', 'classifier for large guns', 'classifier for lessons, subjects, branches of technology', '(suffix) -gate (i.e. scandal; derived from Watergate)']"
想想,xiǎngxiǎng,
